latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
28.07115,85.19099,334.81,0.5,0.41,2025-03-06,0743,N,VIIRS,n,2.0NRT,290.81,8.13,D
28.07149,85.19417,329.27,0.5,0.41,2025-03-06,0743,N,VIIRS,n,2.0NRT,293.41,3.27,D
28.11702,84.26771,337.98,0.46,0.39,2025-03-06,0743,N,VIIRS,n,2.0NRT,297.43,6.08,D
28.37284,81.31419,328.88,0.39,0.36,2025-03-06,0743,N,VIIRS,l,2.0NRT,301.52,2.72,D
28.37616,81.31357,337.97,0.39,0.36,2025-03-06,0743,N,VIIRS,n,2.0NRT,300.65,2.72,D
28.88745,82.46847,337.47,0.4,0.37,2025-03-06,0743,N,VIIRS,n,2.0NRT,300.57,3.4,D
28.9066,82.42655,341.34,0.4,0.37,2025-03-06,0743,N,VIIRS,n,2.0NRT,298.92,26.71,D
28.90535,82.41744,331.53,0.4,0.37,2025-03-06,0743,N,VIIRS,n,2.0NRT,298.3,5.54,D
28.73362,80.30656,330.83,0.38,0.36,2025-03-06,0743,N,VIIRS,n,2.0NRT,301.19,1.73,D
29.10486,82.47937,350.8,0.41,0.37,2025-03-06,0743,N,VIIRS,n,2.0NRT,304.85,9.01,D
29.10876,82.48258,349.85,0.41,0.37,2025-03-06,0743,N,VIIRS,n,2.0NRT,306.38,5.66,D
29.79319,81.942,335.42,0.4,0.37,2025-03-06,0743,N,VIIRS,l,2.0NRT,305.78,4.04,D
29.11206,82.48145,330.09,0.41,0.37,2025-03-06,0743,N,VIIRS,n,2.0NRT,298.08,5.66,D
28.83144,80.0843,330.41,0.39,0.36,2025-03-06,0743,N,VIIRS,n,2.0NRT,298.03,1.65,D
28.87944,80.13564,337.24,0.39,0.36,2025-03-06,0743,N,VIIRS,n,2.0NRT,299.82,2.92,D
28.88275,80.13496,331.49,0.39,0.36,2025-03-06,0743,N,VIIRS,n,2.0NRT,298.1,2.24,D
27.94321,84.36958,331.63,0.39,0.37,2025-03-07,0724,N,VIIRS,n,2.0NRT,296.59,2.85,D
